epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5324,1.46725,3.13377,1.51629,0.05299,0.94118,0.39289,0.21106,1.38015,2.68243,1.45091,0.000298266,0.000298266,0.000298266
2,45.4918,1.33986,2.17328,1.3729,0.50271,0.88761,0.54522,0.32377,1.26786,1.5039,1.41361,0.00054174,0.00054174,0.00054174
3,64.6501,1.29452,1.9392,1.34761,0.51754,0.81618,0.58941,0.32517,1.39649,1.45927,1.53869,0.000725221,0.000725221,0.000725221
4,84.5369,1.30752,1.73518,1.31746,0.4732,0.82248,0.49853,0.29627,1.34429,1.54548,1.47958,0.000639027,0.000639027,0.000639027
5,102.4,1.24537,1.59986,1.28831,0.54261,0.69748,0.6333,0.34998,1.38923,1.29699,1.49168,0.000549036,0.000549036,0.000549036
6,122.564,1.18916,1.48055,1.2559,0.52531,0.83678,0.69336,0.42857,1.34914,1.4147,1.42409,0.000459045,0.000459045,0.000459045
7,141.764,1.11773,1.34702,1.21078,0.60878,0.74775,0.64623,0.3834,1.37991,1.22376,1.5414,0.000369054,0.000369054,0.000369054
8,162.086,1.09635,1.27579,1.19353,0.54618,0.88999,0.75661,0.47511,1.26286,1.18572,1.45158,0.000279063,0.000279063,0.000279063
9,180.979,1.04004,1.17103,1.15979,0.46805,0.90546,0.58247,0.38893,1.28636,1.1565,1.41925,0.000189072,0.000189072,0.000189072
10,200.483,0.98276,1.10569,1.11442,0.4941,0.95912,0.64305,0.42194,1.15943,1.05309,1.3544,9.9081e-05,9.9081e-05,9.9081e-05
